Rank,Urban Area,Population Estimate (2025),1 Year Change (over 2024),Land Area (Km²),Density (P/Km²),Global Rank,Projections (2030),Projections (2050)
1793,Moradih,57704,0.97%,16,3607,10680,63694,93994
1794,Manda,57701,0.96%,15,3847,10681,60449,99381
1795,Tirtol,57699,0.93%,14,4121,10682,60395,63613
1796,Takalghat,57695,0.63%,18,3205,10683,61093,63840
1797,Kapri Kheda,57570,0.39%,10,5757,10707,58690,60258
1798,Atmakur,57523,0.60%,5,11505,10714,59229,62648
1799,Pundri,57512,0.90%,6,9585,10718,60079,68961
1800,Pathanamthitta,57421,0.56%,10,5742,10732,60530,75061
1801,Deori Khas,57385,0.63%,7,8198,10741,59181,65271
1802,Ausa,57296,0.90%,7,8185,10754,58634,62936
1803,Udharbond,57264,1.22%,18,3181,10757,59278,70396
1804,Alanda,57203,0.41%,4,14301,10769,58385,60609
1805,Gosaiganj,57178,–,17,3363,10775,62430,82098
1806,Pakri Dayal,57061,–,22,2594,10795,60511,76275
1807,Lachhmipur,57012,–,25,2280,10801,60759,75833
1808,Arvi,57000,0.43%,7,8143,10804,58224,60712
1809,Sakri,56996,1.42%,7,8142,10807,59572,68266
1810,Muddebihala,56959,0.25%,6,9493,10819,59212,61596
1811,Banda,56935,1.14%,7,8134,10822,58765,77596
1812,Lakhna,56832,0.89%,10,5683,10833,59352,74791
1813,Kothapeta,56814,-0.02%,10,5681,10839,56753,55047
1814,Kaisarganj,56773,1.50%,14,4055,10847,61019,69175
1815,Balarampur,56772,0.49%,7,8110,10848,58169,62031
1816,Sarai Kheta,56753,–,21,2703,10851,62651,72853
1817,Alathur,56748,1.55%,20,2837,10853,58780,67269
1818,Sasni,56737,1.53%,8,7092,10855,65535,80668
1819,Barhaj,56732,0.98%,10,5673,10857,60319,76139
1820,Banwaripur,56718,1.80%,14,4051,10861,61889,126276
1821,Muri,56702,1.20%,11,5155,10863,60065,96505
1822,Kodinar,56674,0.68%,9,6297,10866,60162,102609
1823,Mahanandpur,56603,–,15,3774,10875,60144,73488
1824,Chhota Udaipur,56583,0.89%,8,7073,10878,60730,71402
1825,Sakti,56583,–,14,4042,10879,58611,64021
1826,Bamna,56557,0.64%,9,6284,10885,60727,76404
1827,Channarayapattana,56552,1.12%,8,7069,10886,58341,64892
1828,Deoli,56540,0.98%,10,5654,10891,59288,68969
1829,Bilāimāri,56539,–,26,2175,10892,59569,97293
1830,Nalagarh,56468,0.72%,14,4033,10904,59999,64053
1831,Tini Lodipur,56456,–,30,1882,10907,70026,156736
1832,Chengam,56379,0.45%,10,5638,10923,57642,59823
1833,Satyamangalam,56359,0.48%,8,7045,10925,57697,63948
1834,Bagalkote,56337,0.26%,7,8048,10930,57071,57795
1835,Belda,56321,0.53%,10,5632,10935,57818,62104
1836,Bamaur,56241,1.05%,8,7030,10947,60732,68257
1837,Jhabua,56233,0.81%,6,9372,10949,60011,69785
1838,Khushkhera,56205,1.86%,13,4323,10954,60012,86633
1839,Sri Dungargarh,56182,0.65%,11,5107,10959,57985,62471
1840,Buhalpur,56155,0.44%,25,2246,10966,57380,59090
1841,Kiraoli,56142,0.80%,4,14036,10969,58383,68855
1842,Raniganj,56099,0.85%,5,11220,10981,58475,64331
1843,Iglas,56090,0.78%,5,11218,10982,58269,65640
1844,Jammalamadugu,56042,0.50%,7,8006,10986,57428,59825
1845,Songadh,56023,0.91%,7,8003,10993,60119,115538
1846,Shahabad,56020,0.48%,6,9337,10994,57364,85569
1847,Neral,55998,0.92%,9,6222,10997,58564,68380
1848,Mahwa,55982,0.73%,8,6998,11001,58012,75638
1849,Barharwa,55973,1.01%,7,7996,11002,57350,59917
1850,Bhokar,55945,0.47%,4,13986,11012,57249,59887
1851,Dachepalli,55942,0.59%,11,5086,11014,57582,60737
1852,Rasulabad,55927,1.02%,13,4302,11015,58750,66834
1853,Kenar Fatehpur,55925,1.22%,22,2542,11017,64840,86256
1854,Mahad,55917,2.02%,7,7988,11021,59910,74167
1855,Koppam,55867,–,25,2235,11034,57787,73502
1856,Barwaha,55854,1.01%,9,6206,11037,58656,75191
1857,Yeleswaram,55828,-0.03%,9,6203,11039,55743,53909
1858,Vijainagar,55826,1.43%,10,5583,11041,58330,69940
1859,Satana,55815,1.19%,10,5582,11045,57701,64835
1860,Gadahinglaj,55739,0.35%,12,4645,11052,56713,57979
1861,Ratia,55711,1.29%,8,6964,11058,57930,67216
1862,Kanak Bigha,55700,–,28,1989,11059,78287,130614
1863,Devarakonda,55693,0.36%,7,7956,11062,56700,58637
1864,Ramdurg,55652,0.23%,4,13913,11067,56284,56807
1865,Bilsi,55641,1.31%,5,11128,11068,66625,73446
1866,Kakrala,55617,0.88%,5,11123,11075,58055,65924
1867,Talaja,55611,0.58%,7,7944,11076,57226,62482
1868,Bodeli,55592,1.54%,9,6177,11077,58378,68235
1869,Purna,55562,0.48%,6,9260,11084,56888,61381
1870,Chinnamanur,55560,0.46%,5,11112,11085,56822,60683
1871,Lakshmeshvara,55552,0.28%,7,7936,11087,56325,57120
1872,Saifni,55530,0.82%,8,6941,11094,59332,67197
1873,Dhanpuri,55521,0.59%,14,3966,11097,57162,61094
1874,Anklav,55516,1.36%,9,6168,11098,57809,65931
1875,Sahabad,55460,0.68%,3,18487,11101,57324,77563
1876,Sela Kui,55456,0.97%,10,5546,11103,58115,70195
1877,Rahiār Kunchi,55423,–,20,2771,11112,58966,70533
1878,Pathri,55318,0.43%,7,7903,11127,56507,58910
1879,Bhatpar Rani,55314,1.49%,12,4610,11128,57909,66998
1880,Sandesh,55310,1.40%,15,3687,11129,75777,91330
1881,Nagod,55278,0.83%,6,9213,11136,57543,63451
1882,Abhom,55273,–,19,2909,11138,60463,94240
1883,Yawal,55252,0.90%,5,11050,11143,57726,66334
1884,Danwar,55244,–,19,2908,11144,57422,72964
1885,Mehidpur,55201,1.40%,6,9200,11152,57589,69410
1886,Jambusar,55188,1.51%,6,9198,11154,59435,69020
1887,Bhondsi,55152,–,16,3447,11161,59835,68827
1888,Bansgaon,55150,0.83%,8,6894,11164,59005,72398
1889,Barwa Rajapakar,55136,1.06%,22,2506,11169,58030,73793
1890,Devadurga,55110,0.31%,8,6889,11172,55973,56984
1891,Narsampet,55093,-0.05%,7,7870,11176,54959,52963
1892,Wandoor,55086,0.74%,17,3240,11177,57114,71367
1893,Kalamb,55011,0.91%,6,9169,11192,56009,64262
1894,Hagaribommanahalli,54959,0.24%,6,9160,11198,55616,56347
1895,Sundarnagar,54876,0.67%,14,3920,11212,56692,66251
1896,Chodavaram,54832,0.22%,4,13708,11228,55447,56082
1897,Natham,54804,0.60%,8,6851,11237,56433,59958
1898,Hunterganj,54793,–,26,2107,11242,60157,87847
1899,Sādipur,54732,–,24,2281,11252,57728,93590
1900,Jawkatiā,54618,–,23,2375,11266,66410,101572
1901,Vuyyuru,54585,-0.04%,10,5459,11270,54484,51195
1902,Singhana,54549,–,13,4196,11278,58652,69573
1903,Alamnagar,54527,0.98%,14,3895,11284,119594,282015
1904,Ulundurpettai,54467,0.33%,6,9078,11301,55361,58231
1905,Bhatapada,54458,0.39%,13,4189,11303,55524,56984
1906,Bundu,54405,1.21%,8,6801,11316,57659,75605
1907,Kumarghat,54353,0.60%,12,4529,11327,55970,62264
1908,Barhaiya Buzurg,54284,–,23,2360,11342,57404,74547
1909,Bhachau,54259,0.53%,7,7751,11345,57256,60525
1910,Patti,54246,0.48%,8,6781,11350,55529,57873
1911,Janjgir,54233,0.53%,9,6026,11353,57200,65481
1912,Bansipur,54218,–,11,4929,11355,57462,81873
1913,Bahadurganj,54206,1%,15,3614,11360,63695,89266
1914,Karegaon,54184,0.93%,13,4168,11367,56691,74044
1915,Jamuria,54171,0.48%,15,3611,11372,57615,61679
1916,Muktainagar,54163,0.98%,6,9027,11374,59925,69166
1917,Bhongaon,54158,0.78%,7,7737,11375,74107,98332
1918,Vijapur,54134,0.89%,10,5413,11378,58129,64255
1919,Tuljapur,54090,0.28%,7,7727,11383,54835,55589
1920,Muhavoor,54067,0.57%,9,6007,11389,55598,60146
1921,Honnavar,53999,0.94%,11,4909,11397,58086,65472
1922,Ravulapalem,53995,-0.04%,8,6749,11400,53895,52123
1923,Purwa,53987,1.16%,7,7712,11404,55661,59729
1924,Nimkhera,53965,0.66%,15,3598,11409,56903,61836
1925,Garhwa Road,53946,–,12,4496,11414,57239,99972
1926,Fatehpur,53932,–,9,5992,11418,58859,69174
1927,Una,53931,0.59%,11,4903,11419,57961,61293
1928,Moāp,53885,–,14,3849,11431,57365,103056
1929,Shahpura,53830,1.43%,8,6729,11442,56257,64629
1930,Kasor,53810,0.79%,8,6726,11447,55914,118222
1931,Pirthipur,53757,0.67%,7,7680,11454,57143,65509
1932,Dabauli,53754,–,13,4135,11456,57394,69378
1933,Pipra,53722,–,21,2558,11465,58732,99298
1934,Faizpur,53691,–,7,7670,11472,56158,104540
1935,Birpara,53676,0.81%,5,10735,11473,55833,62159
1936,Ranni,53607,1.17%,12,4467,11490,56895,64457
1937,Pulgaon,53587,0.43%,7,7655,11494,54746,64009
1938,Sathupally,53557,-0.05%,10,5356,11500,53427,51426
1939,Rajura,53444,0.37%,8,6681,11515,54437,55969
1940,Barki Saria,53439,1.03%,13,4111,11516,56175,64430
1941,Lakheri,53359,–,10,5336,11527,58271,70497
1942,Belonia,53330,0.55%,8,6666,11532,56383,63126
1943,Palashipara,53329,–,26,2051,11533,54948,58232
1944,Dharur,53328,0.49%,5,10666,11534,54633,57328
1945,Chandrakona,53295,1.07%,11,4845,11543,54663,58857
1946,Bhalui,53276,–,11,4843,11545,66678,87717
1947,Lalganj,53239,–,15,3549,11554,61017,89908
1948,Balugaon,53222,0.32%,12,4435,11562,54179,55432
1949,Muragacha,53180,0.56%,18,2954,11568,54650,57636
1950,Nārāyanpur,53152,–,13,4089,11574,56518,76786
1951,Powayan,53149,–,6,8858,11575,56862,66355
1952,Kapasan,53075,–,8,6634,11591,55734,64822
1953,Puttur,53074,–,9,5897,11592,54417,58574
1954,Arni,53070,1.14%,7,7581,11594,54582,57950
1955,Nagrota Bagwan,53070,0.63%,12,4423,11595,56249,63013
1956,Benipatti,53031,–,14,3788,11602,56388,70639
1957,Wangjing,52972,0.37%,13,4075,11614,53945,55376
1958,Dumri,52967,0.58%,15,3531,11615,56368,59525
1959,Jaito,52954,–,8,6619,11620,56463,62227
1960,Palamaneru,52906,0.53%,8,6613,11627,57331,60652
1961,Kanigiri,52868,–,9,5874,11635,54172,56927
1962,Gajwel,52805,0.53%,8,6601,11649,54206,56935
1963,Adirampattinam,52804,0.32%,5,10561,11651,53636,54511
1964,Taraori,52734,–,9,5859,11666,56633,81128
1965,Kharik,52731,–,7,7533,11667,55782,68661
1966,Loha,52731,0.65%,9,5859,11668,54436,58550
1967,Chapra,52658,0.51%,10,5266,11681,54002,58017
1968,Jaithari,52637,0.77%,12,4386,11685,54641,62966
1969,Mul,52597,0.36%,6,8766,11691,53541,55017
1970,Batlagundu,52584,0.47%,6,8764,11696,53805,70906
1971,Nawda,52556,–,9,5840,11698,53969,56838
1972,Barbil,52540,0.43%,6,8757,11703,53664,56960
1973,Parola,52440,–,7,7491,11720,54950,61983
1974,Cheria Bariarpur,52425,–,13,4033,11722,71279,88748
1975,Giddarbaha,52412,–,13,4032,11724,55046,66680
1976,Biura,52396,–,19,2758,11732,55630,83032
1977,Chhabra,52369,–,6,8728,11737,54795,63106
1978,Rameswaram,52365,0.37%,11,4760,11740,53331,57322
1979,Abhayachandapur,52343,-0.10%,11,4758,11743,53378,54443
1980,Karera,52304,0.55%,6,8717,11754,53737,61282
1981,Khategaon,52293,–,6,8716,11758,54603,60737
1982,Sausar,52234,–,6,8706,11768,53272,54886
1983,Renwal,52218,0.79%,9,5802,11773,54268,59575
1984,Bilhaur,52203,–,5,10441,11779,54204,58726
1985,Allagadda,52202,0.54%,6,8700,11780,53594,56328
1986,Nuapatna,52199,–,14,3729,11781,53163,56016
1987,Maduranthakam,52120,–,8,6515,11794,53596,62186
1988,Pimpalner,52119,0.77%,6,8687,11795,54101,59480
1989,Rehli,52066,0.66%,6,8678,11803,53770,63120
1990,Sunabeda,52055,–,13,4004,11804,52974,54277
1991,Karuppur,52017,–,15,3468,11815,53805,60581
1992,Gunupur,52014,0.27%,6,8669,11816,52719,53563
1993,Chenari,52010,–,9,5779,11819,55980,64565
1994,Misrikh,51967,–,10,5197,11828,54355,62458
1995,Dakor,51957,0.74%,5,10391,11829,53874,58737
1996,Manuguru,51856,-0.04%,9,5762,11846,51751,–
1997,Zira,51843,0.69%,6,8641,11847,53621,67473
1998,Bassi,51832,–,11,4712,11849,55860,64641
1999,Kolasib,51810,0.53%,5,10362,11852,53182,57697
2000,Sirhind,51803,–,15,3454,11853,53187,58757
2001,Pavagada,51786,0.67%,6,8631,11857,53513,59567
2002,Bilgram,51727,–,8,6466,11864,54073,62110
2003,Raghopur,51726,–,12,4311,11865,54180,131824
2004,Saoner,51702,0.36%,8,6463,11869,52630,54001
2005,Kotturu,51685,–,4,12921,11874,54945,59030
2006,Tendukheda,51685,0.65%,5,10337,11875,54945,61177
2007,Kakching,51613,0.24%,7,7373,11885,52241,53069
2008,Chandur Bazar,51587,0.51%,7,7370,11891,52909,59314
2009,Kampur,51578,–,14,3684,11892,53739,59538
2010,Kodur,51569,0.57%,6,8595,11893,53030,56165
2011,Chikkodi,51565,0.30%,9,5729,11896,52346,53237
2012,Sarai Ajitmal,51509,0.57%,6,8585,11901,52975,58012
2013,Doraha,51488,0.58%,8,6436,11902,67484,71161
2014,Kala Amb,51474,–,14,3677,11905,56628,70856
2015,Pindwara,51443,–,7,7349,11914,53811,63962
2016,Chakulia,51404,0.51%,5,10281,11919,52718,56702
2017,Tiruvuru,51318,-0.05%,6,8553,11941,51194,–
2018,Barsam,51305,–,11,4664,11943,53669,67533
2019,Jammikunta,51282,0.42%,7,7326,11948,52362,54278
2020,Madikeri,51273,–,8,6409,11953,54649,61081
2021,Pathsala,51263,–,9,5696,11954,54244,62543
2022,Indi,51120,0.26%,7,7303,11974,51788,52479
2023,Kabrai,51115,–,9,5679,11975,54422,59135
2024,Mandvi,51045,–,5,10209,11985,54393,64806
2025,Narayanpur,51002,0.30%,10,5100,11992,51764,52733
2026,Porumamilla,50989,–,8,6374,11993,52493,55918
2027,Ikauna,50987,–,9,5665,11994,53124,64209
2028,Asandh,50977,–,5,10195,11996,53141,70781
2029,Hasanpura,50972,–,12,4248,11998,53360,65553
2030,Delha,50947,–,7,7278,12004,55285,63717
2031,Ellenabad,50902,–,7,7272,12010,53026,58412
2032,Gadchandur,50873,–,6,8479,12013,51790,53107
2033,Yeola,50786,–,9,5643,12024,52584,59256
2034,Junagarh,50763,–,4,12691,12032,55500,62088
2035,Sonamukhi,50719,–,8,6340,12035,51909,53710
2036,Kathlal,50618,–,6,8436,12046,57249,63718
2037,Gulabpura,50583,–,9,5620,12051,53117,62506
2038,Bhadrachalam,50565,-0.05%,9,5618,12055,50439,–
2039,Dharmabad,50555,–,6,8426,12057,51766,54103
2040,Baraily,50544,–,8,6318,12061,53064,63917
2041,Kichha,50410,–,10,5041,12077,52604,62121
2042,Sadasivpet,50379,–,4,12595,12080,51187,52368
2043,Banki,50322,–,9,5591,12085,51159,52291
2044,Jonai,50296,–,8,6287,12088,51485,53835
2045,Nepanagar,50220,–,8,6278,12100,53059,62151
2046,Memari,50209,–,7,7173,12102,51198,52512
2047,Mariahu,50187,–,12,4182,12108,81041,130238
2048,Jolarpet,50158,–,10,5016,12110,53540,77764
2049,Rapar,50141,–,4,12535,12115,51691,60040
2050,Bagepalli,50052,–,8,6257,12126,51878,56318
2051,Mandhana Junction,50049,–,8,6256,12127,51556,66126
2052,Ner,50039,–,5,10008,12129,51383,54179
2053,Koraput,50023,–,8,6253,12136,50786,51828
2054,Meerganj,50018,–,7,7145,12137,53639,70217
