Rank,Urban Area,Population Estimate (2025),1 Year Change (over 2024),Land Area (Km²),Density (P/Km²),Global Rank,Projections (2030),Projections (2050)
314,Sirsa,300414,0.93%,37,8119,1910,314401,348432
315,Anantnag,299385,3.17%,89,3364,1918,332672,464307
316,Karur,297598,0.55%,52,5723,1939,305765,328907
317,Attingal,297140,0.81%,76,3910,1947,333654,367746
318,Valsad,296851,1.79%,37,8023,1950,310362,363093
319,Ankleshwar,296840,1.25%,51,5820,1951,314728,414520
320,Najibabad,296669,2.29%,35,8476,1952,312714,403411
321,Wardha,295117,0.42%,35,8432,1967,302745,316594
322,Chhindwara,293950,0.48%,32,9186,1978,299307,308880
323,Bhadrak,291997,0.67%,27,10815,1988,300163,313708
324,Nawada,290657,1.11%,30,9689,1999,316219,381054
325,Habra,290311,0.59%,41,7081,2002,298787,317394
326,Maheshkhunt,289419,1.30%,46,6292,2008,309639,390391
327,Banda,289334,0.51%,23,12580,2009,310839,341113
328,Mayiladuthurai,288923,0.59%,49,5896,2013,295785,307244
329,Bhiwani,288360,0.89%,32,9011,2021,301022,330512
330,Jianpur,286148,8.17%,107,2674,2033,322142,379330
331,Gondia,285870,0.57%,32,8933,2036,295595,315141
332,Zakiganj,284125,0.97%,25,11365,2046,294015,333637
333,Boisar,283063,1.20%,27,10484,2054,299897,351128
334,Batala,281142,0.57%,32,8786,2068,287647,307968
335,Shankarpur,280248,3.14%,119,2355,2071,341890,521454
336,Tundla,280215,1.25%,33,8491,2072,318940,395454
337,Ekma,279229,1.98%,112,2493,2080,322359,414721
338,Medininagar,278795,1%,35,7966,2082,295511,371153
339,Dhaulpur,277498,1.33%,28,9911,2092,291943,327478
340,Morbi,275191,1.91%,58,4745,2107,286217,324334
341,RICCO Industrial Area,274572,0.75%,38,7226,2115,286902,326774
342,Vadalur,273523,0.62%,41,6671,2126,280531,292822
343,Dalla,272778,1.15%,33,8266,2134,288256,335500
344,Guna,271913,0.88%,31,8771,2138,281501,307746
345,Jind,270881,1.39%,41,6607,2149,296261,355725
346,Hassan,270626,1.07%,46,5883,2150,280945,306211
347,Minakhan,270142,0.99%,163,1657,2158,284328,343095
348,Muriya,269810,4.12%,69,3910,2159,314315,404733
349,Beldanga,269051,1.54%,57,4720,2165,278630,367294
350,Patahi,268862,5.06%,104,2585,2167,308290,468708
351,Chhatarpur,268598,0.64%,30,8953,2170,277140,300945
352,Pollachi,267200,0.78%,52,5138,2182,277922,298127
353,Bihpur,266585,1.42%,41,6502,2188,285071,364467
354,Bijnor,266240,0.98%,21,12678,2189,279154,315678
355,Kaithal,265502,1.27%,31,8565,2196,280762,322135
356,Nautan,264437,1.47%,122,2168,2203,355290,430523
357,Shikohabad,264322,1.42%,30,8811,2204,275846,329053
358,Hosapete,263965,0.29%,20,13198,2211,267845,274309
359,Firozpur,263304,1.19%,41,6422,2215,283058,328604
360,Pali,263275,1.06%,41,6421,2216,274497,323273
361,Palwal,262399,1.16%,27,9718,2221,287070,326397
362,Ambur,261614,0.78%,38,6885,2226,277070,308508
363,Moirabari,261593,8%,87,3007,2228,318808,430373
364,Areraj,261142,1.34%,85,3072,2234,281280,425409
365,Lalitpur,260680,0.61%,21,12413,2240,270170,289643
366,Chidambaram,260607,0.43%,25,10424,2241,266242,275216
367,Khalilabad,259783,1.03%,36,7216,2245,280262,343646
368,Vidisha,259638,1.09%,23,11289,2250,271092,309176
369,Nawada,259262,3.86%,99,2619,2253,296040,408298
370,Masaurhi,258274,3.33%,68,3798,2260,273523,372365
371,Shivpuri,257663,0.84%,26,9910,2264,265416,291467
372,Hindaun,256531,0.77%,20,12827,2277,267776,294589
373,Chitradurga,255586,1.01%,25,10223,2284,265746,293978
374,Nandyal,254606,0.48%,22,11573,2291,260641,276025
375,Borigaon,253566,2.05%,127,1997,2299,270518,346663
376,Ongole,253019,0.56%,26,9732,2301,258719,269944
377,Mahbubnagar,252285,0.74%,31,8138,2309,257640,269972
378,Araria,251001,1.02%,32,7844,2320,281551,332565
379,Sambalpur,250468,1.15%,36,6957,2326,261807,289575
380,Sikandarabad,250310,0.99%,23,10883,2329,262590,344340
381,Gangapur City,250176,1.16%,26,9622,2332,262664,296887
382,Dibrugarh,249646,0.34%,36,6935,2338,255457,264833
383,Bhimavaram,249410,-0.03%,25,9976,2343,248980,241083
384,Proddatur,248957,0.73%,23,10824,2346,262592,276266
385,Balrampur,248830,1.29%,34,7319,2347,262972,322198
386,Dausa,248804,1.01%,31,8026,2348,262854,303443
387,Naugarh,248273,1.57%,45,5517,2354,269253,326174
388,Porbandar,247916,0.81%,41,6047,2359,255663,275310
389,Gadag-Betageri,246730,0.27%,25,9869,2365,251615,255221
390,Dhupguri,245107,1.34%,38,6450,2377,265933,372990
391,Sawai Madhopur,243561,1.04%,29,8399,2400,259753,305123
392,Dharashiv,243276,0.31%,29,8389,2403,247029,251224
393,Khajauli,242567,4.24%,85,2854,2414,305777,441334
394,Hoshiarpur,242396,0.54%,37,6551,2416,265978,280389
395,Kannauj,242353,1.14%,23,10537,2417,264075,314831
396,Kamarda,241081,0.64%,81,2976,2433,251421,265253
397,Payyanur,240715,0.75%,82,2936,2437,252821,284686
398,Rajapalayam,240280,0.55%,35,6865,2443,246914,281952
399,Dohrighat,239251,1.03%,67,3571,2448,259669,358668
400,Veraval,238718,0.63%,29,8232,2454,246213,268504
401,Dhaka,237385,1.76%,66,3597,2465,252433,378153
402,Palanpur,237198,0.78%,28,8471,2467,250558,274157
403,Lakhnaur,237133,3.02%,56,4235,2470,259749,393854
404,Diamond Harbour,236861,1.85%,57,4155,2476,244398,258930
405,Modanganj,236293,2.47%,83,2847,2482,251930,356589
406,Amarpur,236273,4.64%,91,2596,2483,283667,505269
407,Tanda,234610,1%,21,11172,2498,262879,313691
408,Bilasipara,234318,1.29%,69,3396,2503,268804,333687
409,Chakan,233615,1.53%,62,3768,2515,252841,300607
410,Beawar,232862,1.55%,37,6294,2521,245634,299692
411,Tiruvallur,232380,0.65%,31,7496,2530,238408,276417
412,Nandurbar,232060,1.54%,25,9282,2533,245611,285654
413,Amarshi,231983,1.61%,89,2607,2534,250799,276125
414,Karad,231965,0.30%,39,5948,2535,235421,239496
415,Balotra,231609,0.69%,27,8578,2540,249440,284774
416,Vrindavan,231456,0.83%,23,10063,2541,244565,274544
417,Ratnagiri,231420,0.34%,34,6806,2542,235306,239755
418,Ambikapur,230136,1.11%,36,6393,2553,239483,263329
419,Jorhat,229980,1.16%,51,4509,2556,244751,275588
420,Gudiyatham,229582,0.73%,21,10932,2558,250707,285436
421,Masrakh,228857,1.89%,103,2222,2567,272373,426586
422,Adoni,227758,0.38%,19,11987,2580,230635,235431
423,Lakhisarai,227316,1.19%,24,9472,2587,240710,279255
424,Auraiya,226306,0.50%,18,12573,2601,233609,256241
425,Hojai,225254,1.28%,36,6257,2614,232919,278106
426,Maharajganj,225197,0.99%,38,5926,2617,236186,352471
427,Buxar,224915,0.81%,27,8330,2623,233500,283526
428,Chirala,224718,0.57%,30,7491,2625,233867,248178
429,Mandya,224701,0.85%,28,8025,2626,232745,250336
430,Patan,224443,0.81%,19,11813,2629,232167,258544
431,Ramgarh,224417,1.68%,40,5610,2630,241851,358143
432,Datia,224287,0.60%,19,11805,2634,241465,267125
433,Tonk,223356,0.82%,23,9711,2645,234066,262671
434,Rajnandgaon,223243,0.93%,25,8930,2646,234822,264576
435,Durgapur,222089,0.51%,54,4113,2658,227996,238521
436,Sahebganj,221858,2.71%,88,2521,2662,292376,360761
437,Ramagundam,221352,0.43%,36,6149,2667,231657,245444
438,Kahalgaon,221187,1.71%,36,6144,2668,233177,268301
439,Tenali,220719,-0.04%,24,9197,2676,220331,213417
440,Banjari,220696,3%,45,4904,2678,236054,288485
441,Rewari,220564,1.58%,31,7115,2683,232068,264300
442,Theni,219721,1.89%,48,4578,2689,228726,246160
443,Bangaon,219613,0.52%,15,14641,2692,225313,244482
444,Dhampur,219479,1%,13,16883,2694,232407,316951
